時間,力行里,三德里,大山里,大仁里,大和里,大港里,大道里,大豐里,小康里,中樓里,五福里,仁愛里,元寶里,公園里,六甲里,文元里,文成里,正風里,正覺里,永祥里,玉皇里,光武里,安民里,成功里,成德里,和順里,延平里,東興里,長榮里,長德里,重興里,振興里,國姓里,國興里,勝安里,華興里,開元里,新勝里,裕民里,實踐里,賢北里,興北里,興南里,總計
6月1日,,,,,,,1615,,,,,,,277,2534.99064,1555.2,,,,,691,1615,227.22,,,,,207,,,,,,,,843,,,,,,,,5008.41064
6月2日,,,,,,,,0,,,,,,,5132.4,,,,2145.22,,,,,,,,,,,,,,,,,,,,,,,,,7277.62
6月3日,,,,,,,,,,,,,,,436.8,,,,417.9,,,,,,,,4333.91,,,,,,,,,,,,,,,,,5188.61
6月4日,,,,,,,,,,,,,,,,,,,,1297.03196,,,,,,,,,,,,,,,,,,,,,,,,1297.03196
6月5日,,,,,,,,,,,,,,,3756.48,,,,4179,,,,,,,,,,,,,,,,,,,,,,,,,7935.48
6月6日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6月7日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6月8日,,,,,,4667.15073,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4667.15073
6月9日,,,,,,,,,,,,,,,,,139.6,,,9247.7,,,,,,,,,,0,,,,,,,,,,,,,,9387.3
6月10日,,,,,,,,,,,,,,,,,,,0,4563.8,,,,,,,,,,,,,,,,,,,,,,,,4563.8
6月11日,,,,,,,,,3036.2,,,,,,,,,1490.76,,,,,,,,,,,,,,,,,,,,,,,,,,4526.96
6月12日,,,,,,,,,357.2,,,,,,,,,0,,1321.1,,,,,,,,,,,49.5,,,,,,,,,0,,,,1727.8
6月13日,,,,,,,,,,,,,,,,,,,1430.98711,,,,,,,,,,,,,,,,,,,,,,,,,1430.98711
6月14日,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
6月15日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6月16日,,,,,,,,,,,,,,,,,,,1243.74005,1441.2,207.3,,,,,,,,,,,,,,,,,,,,,,,2892.24005
6月17日,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
6月18日,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0
6月19日,,,,,,,,,,,,,,,,,,,1009.40959,,,,,,,,,,,,,,,,,,,,,,,,,1009.40959
6月20日,,,,,,,,,,,,,,,,,,1072.56546,,,,,,,2055.6,,,,,,,,,,,,,,,,,,,3128.16546
6月21日,,,,,,,,,,,,,,,,,,48.86784,3665.77701,,,,,,,,,,,,,,,,,,,,,,,,,3714.64485
6月22日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394,,,,394
6月23日,,,,,,,,,,,,,,,,,,,,,,,,,6311.05173,,,,,,,,,,,,,,,,,,,6311.05173
6月24日,,,,,,,,,,,,,,,,,,,881.64363,,,,,,,,,,,,,,,,,,,,,,,,,881.64363
6月25日,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
6月26日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6月27日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6月28日,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
6月29日,,,,,,,,,,,,,,604.8,,,,,835.8,,,,,,,,,,,,,,,,,,,,,,,,,1440.6
6月30日,,,,,,,,,,,,,,,,,,,585.06,1201,,,,,,,,,,,,,,,,,,,,,,,,1786.06
7月1日,,,,,,,,,,,,,,,,,,,3449.17944,,,,,,,,,,,,,,,,,,,,,,,,,3449.17944
7月2日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7月3日,,,,,,,,,2101.17542,,,,,,,,,1212,0,,,,,,,,,,,,,,,,,,,,,1576,,,,4889.17542
7月4日,,,,,,,,,,,,,,,,,,,3388.72324,,,,,,,,,,,,,,,,,,,,,,,,,3388.72324
7月5日,,,,,,,,,,,,,,,1882.73904,,,,4887.70268,,,,,,,,,,,,,,,,,,,,,,,,,6770.44172
7月6日,,,,,,,,,1071.6,,,,,,,518.4,,,,,,,,,,,6787.2,,,,,,,,,,,,,,,,,8377.2
7月7日,,,,,,,,,,,,,,,,,,,,2930.44,,,,,6680.7,,,,,,,,,,,,,,,,,,,9611.14
7月8日,,,,,,,,,,,,,,,,,,,,,,,,,,,7363.0515,,,,,,,,,,,,,,,,,7363.0515
7月9日,,,,,,,,,,,,,,,,,,,,,,,,,22611.6,,9502.08,,,,,,,,,,,,,,,,,32113.68
7月10日,,,,,,,,,,,,,,,,,,,,,,,,,10380.78,,2915.4559,,,,,,,,,,,,,,,,,13296.2359
7月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7月13日,,,,,,,,,,,,,,,,,,1575.6,,,,,,,30350.31732,0,,,,,,,,,,,,,,,,,,31925.91732
7月14日,,,,,,,,,,,,,,,,,,727.2,,,,,,11076,,16263.84,,,,,,,,,,,,,,,,,,28067.04
7月15日,,,,,,,,,,,,,,,,,,484.8,,,,,,7384,9250.2,17050.8,,,,,,,,,,,,,,,,,,34169.8
7月16日,,,,,,,,,,,,,,,,,,90.43944,,,,,,,,,0,,,,,,,,,,,,,,,,,90.43944
7月17日,,,,,,,,,,,,,,,,,,,,,,,,,,3331.00494,,,,,,,,,,,,,,,,,,3331.00494
7月18日,,,,,,,,,,,,,,,,,,,,,,,,,,3880.43418,,,,,,,,,,,,,,,,,,3880.43418
7月19日,,,,,,,,,,,,,,,3276,,,,3343.2,,,,,,,,,,,,,,,,,,,,,,,,,6619.2
7月20日,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
7月21日,,,,,,,,,,,,,,,,,,,1678.2864,,,,,,,,848.4,,,,,,,,,,,,,,,,1664.32,4191.0064
7月22日,,,,,,,,,,,,,,,,,5267.91768,,,,,,,3692,26722.8,,,,,,,,,,,,,,,,,,,35682.71768
7月23日,,0,,,,,,,,,,,,,9172.8,,,,,,,,,,411.12,,,,,,,,,,,,,,,,,,,9583.92
7月24日,,,,,,,,,,,,,,,,,,,5065.44948,,,,,,,,,,,,,,,,,,,,,,,,,5065.44948
7月25日,,,,,,,,,,,,,,,,,,,,,,,,,10278,,,,,,,,,,,,,,,,,,,10278
7月26日,,,111.2,,,,,,,,,,,,,,,,8358,,,,,,3902.96772,,424.2,,,,,,,,,,,,,,,,5283.5473,18079.91502
7月27日,,,,,,,,3546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480.8,,,,,,,7026.8
7月28日,,,,,,,,3546,,,,,,,,,1350.96504,,1170.12,240.2,,,,,6166.8,,1178.32862,,1629.6,,,,0,,,,1099.2,,,3152,,,582.7349,20115.94856
7月29日,,,,,,,0,,,,,,445.3222,,1585.62768,,,,,,,,1082,,,0,,,,239.2,,,,,,,,,,,,,,3352.14988
7月30日,,,,,,,,,,,,,,,,,,,,1334.4311,,,,,,,,,,1028.56,,,,,1110.62808,,,,,,,,624.35776,4097.97694
7月31日,,,98.11732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.11732
8月1日,,,444.8,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,444.8
8月2日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月3日,,,,,,1229.4,,,,,,,,,,,,,445.42568,,,,,,,,,,0,,,,,,,,,,,,,,,1674.82568
8月4日,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
8月5日,,,,,,,,,,,,,,,,,,,621.86306,,,,,1846,0,,,,,,,,,,,,,,,,,,,2467.86306
8月6日,,,,,,,,,,,,,,,,,,,185.72869,,,,,,,,,,,,,,,,,,,,,,,,,185.72869
8月7日,,,,,,,,,,599.76,,,,,,,,,,72.06,573.53,,,,,,,,,,,,,,,,,,,,,,,1245.35
8月8日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月10日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月11日,,,,,,,,,,,,,,,0,,,0,,,,,,,158.58954,,,,,,,,,,,,,,,,,,,158.58954
8月12日,,,,,,,,,,,,,,,,,,,0,116.59308,,,,,,,,,,,,,,,,,,,,,,,,116.59308
8月13日,,,,,,,,,,,,,,,0,,,,,48.04,,,,,,,,,,,,,,,,,,,,,,,,48.04
8月14日,,,,,,,,,,,,,,,,,,,,,,,,1605.20776,,,,,,,,,,,,,,,,,,,,1605.20776
8月15日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月16日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月17日,,,,,,,,,,,,,,,0,,,,159.4985,,,,,,,,0,,,,,,,,,,,,,,,,,159.4985
8月18日,,,,,,,,,,41.99748,,,,,,0,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,41.99748
8月19日,,,,,,,,,0,,229.75,,,,,,,,,,,,,,,,,,,,,,,,,,110.35968,,,,,,0,340.10968
8月20日,,,,,,,,,,,,,,,,,,,,,,,,,0,1967.4,,,,,,,92.76552,,,,,,,,,,,2060.16552
8月21日,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
8月22日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月23日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8月24日,,,,,,,,,0,,,,,,,185.12064,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.12064
8月25日,,,,,,,,,79.02157,,,,,,,,,,,,,,,,,260.22144,,,,,,,,,,,,,,,,,,339.24301
8月26日,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0
8月27日,,125.263,,,,,,,,64.9026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.1656
8月28日,,,,,,,,,,,,,,,,,,,124.92424,,,,,,,,,,,,,,,0,,,,,,,,,,124.92424
8月29日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
8月30日,,,,,,,,,,254.99796,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,254.99796
8月31日,,,,,,,,,,,647.17818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,647.17818
9月1日,,,,,,,,,,,,,,,,471.25152,,,,,,,,,,,,,,,,,,,,,,,,,,,,471.25152
9月2日,,,,,,,,,0,,,,,,,,,0,0,,,,,0,,,,,,,,,,,,,,,,,,,,0
9月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月4日,,,,,,,,,,,,,,,,,,,,480.4,,,,,,,,,,,,,,,,,,,,0,,,,480.4
9月5日,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9月6日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月7日,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
9月8日,,92.18591,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,92.18591
9月9日,,,,,,,,,122.32314,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,122.32314
9月10日,,,,,,,,1256.57829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1256.57829
9月11日,,,,,157.23792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.23792
9月12日,,,,,,,,,,,,70.21812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.21812
9月13日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月14日,,,,,,,,,297.66369,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,541.75,,502.31025,,1341.72394
9月15日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月16日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.3786,,,,,,,,,,,,741.3786
9月18日,,,,,,302.35044,,886.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1188.85044
9月19日,,,,,,,,,179.78769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179.78769
9月20日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月21日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月22日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月23日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月25日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月26日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月27日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月28日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月29日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9月30日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月1日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月2日,,,,,,,,,,,,,,,,,,,,117.16956,,,,,,,,,,,,,,,,,,,0,,,,,117.16956
10月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月4日,,,,,,,,,,,48.88161,,,,,,,,,,,,,,,,,,,,,,,39.59985,,,,,,,,,,88.48146
10月5日,,,,20.32944,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,20.32944
10月6日,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,0
10月7日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.80243,,,,,,42.80243
10月8日,274.7224,,,,,,,345.78819,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,620.51059
10月9日,0,,,,,,,,,,,,,,,,,,,,,,,186.46446,,,,,,,,,,,,,,,,,,,,186.46446
10月10日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.35068,,0,,,,,,,68.35068
10月12日,,,,,,,,,,,,,,,,,61.2146,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2146
10月13日,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,0,,,,,,,,0
10月14日,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,,,,,,,,0
10月15日,,,,,,,,,,47.59524,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,92.78314,,,140.37838
10月16日,,,,,,0,,,,,,,105.0263,,,,,,,,,,,,,,,,,,158.4,,,,,,,,,,,,,263.4263
10月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月18日,,,,,,,,,,,,,,,,,,,105.51975,197.54048,,,,,,,,,,,,0,,,,,,,,,,,,303.06023
10月19日,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,0
10月20日,,,,,,,,122.6916,,,,,,,,,0,,,,,,,,,,,,,,,,,30.91425,,,,,,,,,,153.60585
10月21日,0,,,,37.98936,,,,,,,,,,,,,,,,205.64851,,,0,,,,,,,,,,,,,,,,0,,,,243.63787
10月22日,,,,,,,,,,,,,27.9391,0,,,,,,,,,,,,0,,,,,198,,,,,,,,,,,,,225.9391
10月23日,,,,,,,,,,,,,,,,,,,,,,,0,,568.42479,,,,,,,,,,,,,0,,,,,,568.42479
10月24日,,,,,,,,,,,,78.25986,,,,,,,,,,,,,,,,,,,0,,,,,,42.99704,,,,,,,121.2569
10月25日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10月26日,,,,,,99.95022,,,,,,,,,,259.2,,,,,,,,,,,657.67261,,,,,,,,,,,,,,,,,1016.82283
10月27日,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
10月28日,,,,,,,,,,,,,,,,278.69184,,0,,,,,,,0,0,,,,229.99678,,,,0,,,,,0,,,,,508.68862
10月29日,,,,,,,,0,,,,,,,,,,,,,,,,,503.77617,,,0,,,176.7843,0,,,,,,0,,,0,,,680.56047
10月30日,142.66,,,,,,,,,,,,,,218.4,0,,,,,,,,643.94018,,,,,,,,,,,,,,,,,0,132.95295,,1137.95313
10月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0
11月1日,,,,98.4,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4
11月2日,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
11月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,0
11月4日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月5日,,,,,,,,,,,,,,,,,,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,0
11月6日,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,,,,,,79.375,,,,,79.375
11月7日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月8日,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,,,,,,0,,,,,,0,,,0
11月9日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0
11月10日,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0
11月11日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月12日,0,,,,,,,,,0,,,,,,,,,,0,,,,,,,,0,,,,,,,,0,,0,,,,,,0
11月13日,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0
11月14日,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11月15日,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,0
11月16日,,,,,,,,,,0,,21.7155,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,21.7155
11月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月18日,,,,,,1053.5958,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0515,,,0,,,,,,,1087.6473
11月19日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
11月20日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月21日,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0
11月22日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月23日,,,,,0,,,,,,,0,,,,,,,,,,,,72.10476,0,,,,,,,,,,,,,,,,,,,72.10476
11月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月25日,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
11月26日,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0
11月27日,,,,,,,,,,,,,,,,,,,,,,,162.3,,0,,,,,,,,0,,,,,,,,,,,162.3
11月28日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11月29日,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0
11月30日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月1日,,,,,,,,,,,,,,,,1296,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,1296
12月2日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月4日,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12月5日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月6日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月7日,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12月8日,,,,,,0,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,0,,,,0
12月9日,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
12月10日,101.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,101.9
12月11日,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,0
12月12日,,,,,,,,0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0
12月13日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月14日,,,,,,,,,0,0,,,,,,,,,,,,0,,,,0,,0,0,,,,0,,,,,,,,,,,0
12月15日,,,,0,,,,,,,,,,0,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,,0
12月16日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月18日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月19日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月20日,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
12月21日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月22日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月23日,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
12月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月25日,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,0
12月26日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月27日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月28日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月29日,,,,,,,,,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0
12月30日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12月31日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
